REPO abp_monthly.csv, 0.045,0.513,-26.679,0.93,0.798,0.845,0.719,0.978
REPO ABTestingGateway_monthly.csv, -0.053,-0.014,0.533,-0.012,-0.026,-0.012,0.415,0.457
REPO acat_monthly.csv, 0.134,0.125,0.319,0.182,0.084,1.0,0.633,1.0
REPO adempiere_monthly.csv, 0.673,0.852,-1.89,0.339,-0.055,0.696,0.66,0.767
REPO AdguardBrowserExtension_monthly.csv, -1.886,-1.359,-174.087,-0.425,-0.936,0.675,-0.145,0.431
REPO adminlte-laravel_monthly.csv, 0.28,0.978,0.047,0.638,0.987,1.0,1.0,0.91
REPO Aerial_monthly.csv, -0.145,-0.861,0.254,0.165,0.112,0.081,0.273,0.288
REPO ai-chatbot-framework_monthly.csv, -0.572,0.413,-3.398,-0.357,0.101,0.35,0.868,0.868
REPO airgeddon_monthly.csv, -0.152,-0.143,-0.31,-0.16,-0.123,-0.092,-0.213,-0.092
REPO akka-http_monthly.csv, -1.412,-0.625,0.268,-2.385,-10.221,0.424,0.871,0.911
REPO ale_monthly.csv, 0.411,0.893,-3.484,0.497,0.868,0.411,0.749,0.806
REPO Algorithms_monthly.csv, 0.889,0.035,0.941,0.651,0.067,1.0,0.956,0.963
REPO aliyun-openapi-java-sdk_monthly.csv, 0.856,0.604,-11.043,0.483,-0.78,-0.812,0.994,0.954
REPO all-contributors_monthly.csv, 0.755,0.756,0.858,1.0,0.998,1.0,0.974,1.0
REPO allure2_monthly.csv, 0.901,0.269,-0.128,0.869,0.896,0.917,0.977,0.977
REPO alpakka_monthly.csv, 0.633,0.652,-2.101,0.857,0.787,0.823,0.859,0.949
REPO alphalens_monthly.csv, -0.118,-0.025,-0.121,-0.094,-0.119,-0.087,0.075,-0.076
REPO altair_monthly.csv, 0.892,0.804,0.356,-0.078,0.526,0.791,0.744,0.865
REPO amazon-dsstne_monthly.csv, 0.222,0.472,0.742,0.884,0.951,0.815,1.0,1.0
REPO ambar_monthly.csv, 0.755,-0.06,0.422,-0.141,-0.132,-0.259,0.404,0.869
REPO amethyst_monthly.csv, 0.036,-6.095,-1.536,-4.523,-0.146,0.498,0.27,0.611
REPO Ammonite_monthly.csv, 0.11,0.075,0.122,0.143,0.128,0.196,0.494,0.494
REPO amp-wp_monthly.csv, -0.56,-0.303,0.632,-0.722,-0.442,-0.697,-0.37,-0.264
REPO analyze_monthly.csv, 0.95,-0.667,0.993,1.0,0.944,1.0,0.978,0.973
REPO android-classyshark_monthly.csv, -1.326,-0.947,0.181,-1.17,-1.648,-1.658,0.987,0.848
REPO android-hidden-api_monthly.csv, 0.274,-0.1,-47.882,0.123,0.895,1.0,0.823,1.0
REPO Android-Image-Cropper_monthly.csv, -0.657,0.057,-0.097,-1.018,-0.399,-0.159,-0.166,-0.166
REPO android-oss_monthly.csv, 0.734,0.565,-117.905,-0.341,0.979,-0.341,-0.194,-1.65
REPO Android-Plugin-Framework_monthly.csv, -0.589,-0.695,0.646,-0.801,-4.282,0.214,0.725,0.461
REPO Android-SpinKit_monthly.csv, -0.224,-0.067,-0.658,-0.783,-0.188,-0.171,1.0,1.0
REPO android-youtube-player_monthly.csv, 0.514,0.042,0.309,-0.337,-0.17,-0.153,-0.153,-0.153
REPO AndroidPicker_monthly.csv, -12.579,-0.365,0.098,-0.5,-0.36,-0.145,-0.459,-0.145
REPO AndroidTagView_monthly.csv, -0.164,-0.044,-1.158,-0.086,-0.029,-0.028,-0.028,-0.095
REPO androidtool-mac_monthly.csv, -0.209,0.221,-7.581,-0.173,-0.167,-0.909,0.837,0.853
REPO AndroidTVLauncher_monthly.csv, -0.138,-0.066,-0.091,-0.093,-0.085,0.145,0.319,0.319
REPO AndroidVideoCache_monthly.csv, -0.652,0.101,0.618,-0.017,-0.015,-0.018,-0.016,-0.016
REPO angr_monthly.csv, -1.713,0.357,0.354,0.919,0.677,0.872,0.992,0.992
REPO angular-calendar_monthly.csv, -0.132,-0.284,-0.352,-0.273,-0.211,-0.094,0.216,0.216
REPO angular-seed-advanced_monthly.csv, 0.151,0.358,-20.381,-3.431,0.791,0.962,0.423,0.935
REPO angular_monthly.csv, -1.444,-0.344,-8.734,-0.683,-3.717,-4.216,-0.891,-0.891
REPO Animations_monthly.csv, 0.682,-2.338,0.689,-0.643,-8.622,-3.0,0.541,-0.242
REPO ann-benchmarks_monthly.csv, -1.385,-1.21,0.376,-2.025,0.851,-2.444,0.551,1.0
REPO ant-design-mobile_monthly.csv, 0.948,0.287,0.711,0.909,0.936,0.265,0.875,1.0
REPO ant-motion_monthly.csv, -1.942,0.238,0.3,-0.798,-1.247,-0.494,-0.494,-0.959
REPO antd-admin_monthly.csv, 0.885,0.639,-0.094,0.82,0.85,1.0,0.967,0.967
REPO Anti-Anti-Spider_monthly.csv, -0.758,-0.442,-1.566,0.76,-3.675,0.256,0.873,0.775
REPO anyRTC-RTMP-OpenSource_monthly.csv, 0.746,-13.669,0.956,0.259,-0.429,0.259,0.911,0.835
REPO apiato_monthly.csv, -2.444,-1.456,0.424,-0.648,-0.321,0.327,0.711,0.711
REPO apify-js_monthly.csv, -4.646,-0.7,-2.786,-41.778,-1.928,-1.621,-1.259,-1.259
REPO APIJSON_monthly.csv, -27.174,-1.369,-0.984,-5.841,0.541,-0.208,0.612,0.612
REPO ApiManager_monthly.csv, 0.791,0.32,0.775,-1.186,0.731,-4.255,0.931,0.934
REPO api_monthly.csv, 0.299,0.711,-0.545,0.92,0.795,0.977,0.961,0.989
REPO APlayer_monthly.csv, 0.984,0.979,-51.267,0.811,0.931,1.0,0.873,0.95
REPO apollo-android_monthly.csv, 0.824,0.878,-3.973,0.784,0.473,0.81,1.0,0.784
REPO apollo-angular_monthly.csv, 0.542,0.662,-2.202,-319.0,-2.183,0.77,0.063,0.916
REPO apollo-client_monthly.csv, -2.308,0.22,-7.079,-3.377,-0.977,-2.308,0.176,0.176
REPO apollo-ios_monthly.csv, 0.408,0.607,-1.582,0.152,0.495,0.387,0.938,0.519
REPO apollo-server_monthly.csv, 0.86,0.795,0.226,-0.937,-0.273,-0.216,0.553,0.734
REPO apollo-tooling_monthly.csv, -6.062,-0.442,-0.814,-0.476,-0.373,-0.509,0.423,-0.347
REPO apollo-universal-starter-kit_monthly.csv, 0.913,0.623,0.0,0.765,0.843,0.964,0.932,0.932
REPO apollo_monthly.csv, 0.762,-0.295,-0.248,-0.112,-0.13,-0.262,0.212,0.212
REPO AppIntro_monthly.csv, 0.423,0.938,0.462,0.846,0.401,-2.766,0.92,0.83
REPO appium-desktop_monthly.csv, 0.866,-6.992,0.629,1.0,0.868,1.0,0.777,0.949
REPO AppleALC_monthly.csv, -7.143,-6.233,-3.445,-1.2,0.322,-3.333,0.136,0.676
REPO AppMetrics_monthly.csv, 0.981,-0.939,0.936,0.339,0.896,0.952,0.967,0.967
REPO apprtc_monthly.csv, 0.915,0.54,0.06,0.963,0.994,1.0,0.927,1.0
REPO aquarelle_monthly.csv, -1.786,-0.018,0.371,-0.147,-0.038,-0.005,0.151,-0.033
REPO aqueduct_monthly.csv, 0.93,0.39,0.656,0.958,0.976,1.0,0.958,1.0
REPO arcade_monthly.csv, -0.439,-0.038,0.728,-0.171,-0.25,0.85,-0.164,-0.164
REPO arcgis-python-api_monthly.csv, -8.02,0.213,-4.982,-2.437,-6.352,-1.351,-1.018,-1.018
REPO ArchiSteamFarm_monthly.csv, 0.713,0.17,0.717,0.778,0.667,0.73,0.95,0.957
REPO ArcLayout_monthly.csv, -0.194,0.034,-0.245,-0.065,-0.123,-0.088,0.369,1.0
REPO arduino-esp32_monthly.csv, 0.943,0.049,-2.644,0.944,0.943,0.918,0.95,1.0
REPO Aria_monthly.csv, 0.374,0.686,-0.281,-4.437,0.82,0.644,0.979,0.979
REPO armeria_monthly.csv, 0.05,0.078,-2.812,-5.473,-109.49,-0.858,0.891,0.96
REPO armory_monthly.csv, -3.069,0.764,-45.242,-9.08,0.189,0.009,-0.304,0.317
REPO armor_monthly.csv, -0.622,-0.428,-2.281,-0.42,-2.221,-27.0,0.315,0.178
REPO artillery_monthly.csv, -0.412,-0.101,-1.602,-0.4,-0.314,-0.446,0.576,-0.328
REPO asm-dude_monthly.csv, -0.051,-0.002,-0.097,-0.103,0.03,0.014,0.014,-0.042
REPO AssetStudio_monthly.csv, -0.152,0.045,-0.543,-0.332,-0.18,-0.41,0.113,0.917
REPO astral_monthly.csv, -53.0,0.212,-1.042,-1.038,-1.175,-0.687,0.304,0.513
REPO athenapdf_monthly.csv, -1.519,0.107,-0.719,0.626,0.231,-0.388,0.261,0.085
REPO athenz_monthly.csv, -0.325,-3.765,-2.064,-1.366,-1.22,-1.046,-0.39,-0.446
REPO atlasdb_monthly.csv, 0.902,0.561,0.501,0.853,0.755,0.696,0.773,0.758
REPO AtomicGameEngine_monthly.csv, 0.987,0.253,-9.888,0.883,0.959,0.987,0.987,0.99
REPO audacity_monthly.csv, -0.515,-0.552,-1.004,-0.654,0.691,0.355,-0.477,0.967
REPO audio-reactive-led-strip_monthly.csv, -0.163,-0.02,0.742,-0.081,-0.046,-0.04,0.694,0.668
REPO aurora-imui_monthly.csv, 0.789,0.949,-0.762,-8.626,0.902,0.972,0.974,0.974
REPO authelia_monthly.csv, 0.952,0.544,-7.679,0.81,0.733,0.872,0.917,0.997
REPO auto-sklearn_monthly.csv, -7.595,-5.809,-0.656,-1.34,-1.082,-1.651,-0.249,-0.219
REPO AutomatedLab_monthly.csv, -0.892,-1.685,-2.688,-1.414,-1.231,-3.874,0.946,0.888
REPO autorest_monthly.csv, 0.636,-0.102,0.261,0.315,0.757,-0.32,0.923,0.923
REPO AutoSpotting_monthly.csv, 0.883,0.152,0.774,0.964,0.95,1.0,0.925,0.936
REPO autoware_monthly.csv, 0.459,0.48,-11.708,0.605,0.932,0.956,0.718,0.736
REPO awesome-cpus_monthly.csv, -0.203,-0.311,-3.091,-0.413,-0.093,-0.381,-0.048,0.845
REPO awesome-macos-screensavers_monthly.csv, -0.741,-0.042,-2.483,-0.082,-0.028,-0.026,0.536,1.0
REPO awesome-threat-intelligence_monthly.csv, -20.857,0.73,-0.06,-2.299,0.084,-1.429,0.845,-0.488
REPO awless_monthly.csv, -4.629,-0.302,-2.531,-1.139,-3.146,-2.025,0.514,0.514
REPO aws-sdk-cpp_monthly.csv, 0.182,0.861,-1.027,-0.758,-0.773,-0.285,0.814,0.814
REPO axe-core_monthly.csv, -1.952,-0.566,-1.055,-0.725,-0.671,-0.357,-0.235,-0.235
REPO Axelrod_monthly.csv, 0.372,0.503,-0.293,0.31,0.127,0.474,0.069,0.455
