n12g0m0.txt
25%,0.384,0.764,0.389,0.333,0.388,0.345,0.055,0.077
75%,3.4,8.23,3.432,4.0,3.837,3.5,0.996,1.194
median,0.97,2.345,0.935,1.0,1.047,0.899,0.219,0.298
std,9.957,103.401,11.373,13.689,16.857,19.36,7.499,8.799
iqr,3.016,7.467,3.044,3.667,3.449,3.155,0.94,1.116
win,742,464,777,725,719,785,1367,1290
n12g0m1.txt
25%,-1.478,-0.389,-3.386,-1.178,-1.145,-0.863,0.188,0.156
75%,0.649,0.552,0.421,0.696,0.72,0.822,0.939,0.953
median,-0.03,0.113,-0.553,-0.006,0.002,0.171,0.76,0.783
std,58.308,11.571,343.803,47.416,15.275,62.739,5.198,3.209
iqr,2.127,0.941,3.807,1.874,1.865,1.686,0.752,0.798
win,90,218,139,108,95,247,582,631
n12g1m0.txt
25%,0.2,0.254,0.194,0.111,0.094,0.0,0.0,0.0
75%,0.8,1.602,0.803,0.667,0.66,0.833,0.231,0.333
median,0.4,0.655,0.411,0.333,0.306,0.333,0.053,0.096
std,1.683,8.876,2.148,1.592,1.714,1.944,1.459,1.536
iqr,0.6,1.347,0.61,0.556,0.566,0.833,0.231,0.333
win,692,447,588,717,764,796,1443,1282
n12g1m1.txt
25%,-1.875,-0.617,-4.4,-1.082,-0.857,-0.611,0.174,0.133
75%,0.504,0.478,0.139,0.746,0.776,1.0,1.0,1.0
median,-0.156,0.025,-1.106,0.107,0.216,0.314,0.76,0.794
std,18.402,24.668,494.637,25.099,53.158,7.555,0.932,0.908
iqr,2.378,1.096,4.538,1.828,1.634,1.612,0.826,0.867
win,196,206,72,334,140,625,751,811
n12g2m0.txt
25%,0.244,0.296,0.285,0.255,0.224,0.25,0.037,0.051
75%,0.84,1.663,0.859,0.848,0.856,0.873,0.442,0.537
median,0.513,0.662,0.59,0.51,0.49,0.533,0.143,0.192
std,1.604,7.392,1.161,1.966,2.148,2.154,0.655,0.67
iqr,0.596,1.368,0.574,0.593,0.632,0.623,0.406,0.486
win,877,735,776,897,915,844,1486,1416
n12g2m1.txt
25%,-5.703,-0.412,-12.843,-2.698,-1.969,-2.481,-0.166,-0.176
75%,0.37,0.538,-0.003,0.512,0.56,0.556,0.877,0.89
median,-0.874,0.146,-2.45,-0.222,-0.054,-0.054,0.586,0.593
std,170.665,40.996,4308.135,244.541,139.651,71.757,9.6,11.161
iqr,6.072,0.95,12.84,3.21,2.529,3.037,1.043,1.066
win,383,648,273,473,504,531,1087,1092
n12g3m0.txt
25%,0.148,0.211,0.366,0.083,0.211,0.0,0.0,0.0
75%,0.91,1.0,1.0,0.833,1.0,0.835,0.278,0.375
median,0.45,0.74,0.74,0.333,0.54,0.329,0.054,0.095
std,2.949,15374797135.58,4.706,1.265,1.618,1.288,0.697,1.42
iqr,0.762,0.789,0.634,0.75,0.789,0.835,0.278,0.375
win,694,614,420,819,641,926,1444,1319
n12g3m1.txt
25%,-1.634,-0.193,-6.921,-0.728,-0.435,-0.401,0.454,0.433
75%,0.842,0.868,0.239,0.924,0.926,1.0,1.0,1.0
median,0.21,0.512,-1.19,0.511,0.583,0.599,0.881,0.898
std,18.741,28.16,502.141,11.418,17.274,10.043,4.939,4.98
